날짜,삼성전자,SK하이닉스,NAVER,KODEX200,KODEX채권,기준금리,국고채3년,VIX
2021-02-15,0.031862745098039325,0.04761904761904767,0.05184174624829474,0.014664057403783515,-0.0003890413202833898,0.5,0.998,21.99
2021-02-16,0.008313539192398967,0.0037878787878788955,0.02204928664072625,0.004294494304009078,0.0,0.5,0.984,21.46
2021-02-17,-0.020023557126030656,-0.018867924528301883,-0.005076142131979711,-0.010779945716187789,0.0003891927323378397,0.5,0.986,21.5
2021-02-18,-0.013221153846153855,-0.03076923076923077,-0.010204081632653073,-0.014262418139932231,0.0003583275318399526,0.5,0.985,22.49
2021-02-19,0.006090133982947554,0.05555555555555558,0.025773195876288568,0.008691770390210518,-0.00018421672073765105,0.5,0.996,22.05
2021-02-22,-0.004842615012106588,0.026315789473684292,-0.028894472361809087,-0.010465207091349238,-0.0009417256098185334,0.5,1.02,23.45
2021-02-23,-0.0024330900243308973,0.0146520146520146,0.010349288486416475,-0.0010786351319355125,4.098318664769174e-05,0.5,1.02,23.11
2021-02-24,0.0,-0.018050541516245522,-0.04225352112676062,-0.021306294442981266,0.0007684032580297373,0.5,1.006,21.34
2021-02-25,0.040243902439024426,0.09191176470588225,0.02406417112299475,0.03638222868060592,0.0,0.5,0.995,28.89
2021-02-26,-0.03282532239155922,-0.047138047138047146,-0.02088772845953002,-0.027678965544101986,-0.0016584766584766264,0.5,1.02,27.95
2021-03-02,0.01333333333333342,0.021201413427561766,0.006666666666666599,0.011162442919325999,0.00021534485941065995,0.5,1.021,24.1
2021-03-03,0.004784688995215225,0.01730103806228378,0.05827814569536427,0.011171266340948005,0.0005638770132971871,0.5,1.019,26.67
2021-03-04,-0.01904761904761909,-0.03401360544217691,-0.020025031289111372,-0.01282386126201418,-0.0001536979732360555,0.5,1.03,28.57
2021-03-05,-0.00364077669902918,-0.014084507042253502,-0.03575989782886335,-0.005317882371616789,-0.00013322538660986982,0.5,1.066,24.66
